Dealer_Name,Model,Company,Price ($)
Alan Byer Volvo Cars,XC90 B5 Core Bright Theme,Volvo,54977.0
Alan Byer Volvo Cars,XC90 T5 Momentum 7 Passenger,Volvo,38444.0
Aristocrat Motors,Cayenne E-Hybrid Coupe Base,Porsche,79477.0
BMW of Fort Wayne/MINI of Fort Wayne,X7 xDrive40i,BMW,46948.0
BMW of Wyoming Valley,330 xDrive,BMW,36594.5
Bob Moore Kia Northwest,Sorento Hybrid EX,Kia,36858.0
Buddy Storbeck's Diesel Service Inc,3-Sep,Saab,31499.625
Buddy Storbeck's Diesel Service Inc,3000GT,Mitsubishi,22037.875
Buddy Storbeck's Diesel Service Inc,300M,Chrysler,22643.14285714286
Buddy Storbeck's Diesel Service Inc,323i,BMW,18500.5
Buddy Storbeck's Diesel Service Inc,328i,BMW,27499.75
Buddy Storbeck's Diesel Service Inc,528i,BMW,28000.15
Buddy Storbeck's Diesel Service Inc,A4,Audi,19500.0
Buddy Storbeck's Diesel Service Inc,A6,Audi,25741.541666666668
Buddy Storbeck's Diesel Service Inc,A8,Audi,13001.0
Buddy Storbeck's Diesel Service Inc,Accent,Hyundai,18000.0
Buddy Storbeck's Diesel Service Inc,Accord,Honda,31000.5
Buddy Storbeck's Diesel Service Inc,Altima,Nissan,20500.5
Buddy Storbeck's Diesel Service Inc,Aurora,Oldsmobile,51998.875
Buddy Storbeck's Diesel Service Inc,Avenger,Dodge,39000.0
Buddy Storbeck's Diesel Service Inc,Beetle,Volkswagen,33000.0
Buddy Storbeck's Diesel Service Inc,Bonneville,Pontiac,22500.333333333332
Buddy Storbeck's Diesel Service Inc,Bravada,Oldsmobile,17666.666666666668
Buddy Storbeck's Diesel Service Inc,C-Class,Mercedes-B,14042.166666666666
Buddy Storbeck's Diesel Service Inc,C70,Volvo,33571.28571428572
Buddy Storbeck's Diesel Service Inc,CL500,Mercedes-B,26300.0
Buddy Storbeck's Diesel Service Inc,CLK Coupe,Mercedes-B,22101.0
Buddy Storbeck's Diesel Service Inc,CR-V,Honda,21929.14285714286
Buddy Storbeck's Diesel Service Inc,Cabrio,Volkswagen,17786.0
Buddy Storbeck's Diesel Service Inc,Camaro,Chevrolet,30925.0
Buddy Storbeck's Diesel Service Inc,Camry,Toyota,30215.0
Buddy Storbeck's Diesel Service Inc,Caravan,Dodge,29750.25
Buddy Storbeck's Diesel Service Inc,Carrera Cabrio,Porsche,20800.0
Buddy Storbeck's Diesel Service Inc,Carrera Coupe,Porsche,21500.375
Buddy Storbeck's Diesel Service Inc,Catera,Cadillac,28000.0
Buddy Storbeck's Diesel Service Inc,Cavalier,Chevrolet,18833.333333333332
Buddy Storbeck's Diesel Service Inc,Celica,Toyota,23467.0
Buddy Storbeck's Diesel Service Inc,Century,Buick,17250.0
Buddy Storbeck's Diesel Service Inc,Cherokee,Jeep,25000.0
Buddy Storbeck's Diesel Service Inc,Cirrus,Chrysler,12001.0
Buddy Storbeck's Diesel Service Inc,Civic,Honda,38575.25
Buddy Storbeck's Diesel Service Inc,Concorde,Chrysler,27020.4
Buddy Storbeck's Diesel Service Inc,Continental,Lincoln,42249.916666666664
Buddy Storbeck's Diesel Service Inc,Contour,Ford,19000.0
Buddy Storbeck's Diesel Service Inc,Corolla,Toyota,14250.0
Buddy Storbeck's Diesel Service Inc,Corvette,Chevrolet,34833.444444444445
Buddy Storbeck's Diesel Service Inc,Cougar,Mercury,31000.166666666668
Buddy Storbeck's Diesel Service Inc,Crown Victoria,Ford,27320.4
Buddy Storbeck's Diesel Service Inc,Cutlass,Oldsmobile,29667.0
