Name,Mileage,Dealer_Name,Rating,Review Count,Price ($)
2020 GMC Sierra 2500 Denali,"23,249 mi.",Mitch Smith Chevrolet,4.1,(135 reviews),"$68,993"
2021 BMW X5 PHEV xDrive45e,"22,255 mi.",BMW of Las Vegas,4.8,"(2,634 reviews)","$47,882"
2022 Ferrari Portofino M Base,"1,959 mi.",Twin Cities Performance,n/a,(0 reviews),"$297,990"
2015 Ferrari California T,"7,478 mi.",Ferrari Maserati Alfa Romeo of Fort Lauderdale,4.8,"(2,660 reviews)","$159,900"
2022 Mercedes-Benz EQS 580 Base 4MATIC,"6,558 mi.",Mercedes-Benz of Salt Lake City,4.6,(427 reviews),"$75,799"
2023 Porsche Taycan Base,"7,025 mi.",Capital Volkswagen Volvo Porsche,4.9,"(1,713 reviews)","$112,390"
2020 Honda Civic Si Base,"14,864 mi.",Gwinnett Place Honda,4.8,"(3,636 reviews)","$30,488"
2021 INFINITI Q60 3.0t Red Sport 400,"27,086 mi.",INFINITI of Lexington,4.7,(61 reviews),"$40,974"
2021 Audi A8 L 55,"34,874 mi.",Audi Richfield,4.3,(13 reviews),"$59,950"
2023 Mercedes-Benz AMG E 53 E 53 AMG,"1,233 mi.",Loeber Motors Mercedes-Benz,n/a,n/a,"$67,397"
2023 Rolls-Royce Cullinan Cullinan,"3,651 mi.",Desert European Motorcars,4.8,(298 reviews),"$395,495"
2020 Acura ILX Base,"12,604 mi.",Johnson City Mazda,n/a,(1 review),"$23,259"
2023 Porsche Taycan Base,"5,009 mi.",Porsche Bellevue,4.7,(933 reviews),"$89,995"
2015 FIAT 500L Trekking,"80,367 mi.",Fullerton Auto Group,4.4,(352 reviews),"$8,500"
2023 BMW i4 Gran Coupe eDrive35,"6,715 mi.",BMW of Lancaster,4.7,(190 reviews),"$42,511"
2023 Mercedes-Benz AMG GT 53 AMG GT 53,"4,164 mi.",Isringhausen Imports,5.0,(977 reviews),"$104,900"
2023 Mercedes-Benz EQB 250 250 4D Sport Utility,"2,236 mi.",Mercedes-Benz of Eugene,4.7,(94 reviews),"$49,995"
2023 Audi S4 Prestige-CERTIFIED,"8,548 mi.",Audi McKinney,n/a,(6 reviews),"$51,991"
2023 Honda Pilot 2WD EX-L 7 Passenger,"10,296 mi.",Yuma Honda,4.9,(592 reviews),"$37,998"
2021 Toyota Venza LE,"41,453 mi.",Capital Toyota,4.8,"(1,399 reviews)","$31,950"
2023 Mercedes-Benz AMG E 53 E 53 AMG,"2,435 mi.",Loeber Motors Mercedes-Benz,n/a,n/a,"$66,998"
2020 GMC Sierra 2500 Denali,"23,249 mi.",Mitch Smith Chevrolet,4.1,(135 reviews),"$68,993"
2022 Mercedes-Benz EQS 580 Base 4MATIC,"6,558 mi.",Mercedes-Benz of Salt Lake City,4.6,(427 reviews),"$75,799"
2015 Ferrari California T,"7,478 mi.",Ferrari Maserati Alfa Romeo of Fort Lauderdale,4.8,"(2,660 reviews)","$159,900"
2021 INFINITI Q60 3.0t Red Sport 400,"27,086 mi.",INFINITI of Lexington,4.7,(61 reviews),"$40,974"
2020 Honda Civic Si Base,"14,864 mi.",Gwinnett Place Honda,4.8,"(3,636 reviews)","$30,488"
2023 Porsche Taycan Base,"7,025 mi.",Capital Volkswagen Volvo Porsche,4.9,"(1,713 reviews)","$112,390"
2022 Ferrari Portofino M Base,"1,959 mi.",Twin Cities Performance,n/a,(0 reviews),"$297,990"
2021 BMW X5 PHEV xDrive45e,"22,255 mi.",BMW of Las Vegas,4.8,"(2,634 reviews)","$47,882"
2021 Audi A8 L 55,"34,874 mi.",Audi Richfield,4.3,(13 reviews),"$59,950"
2023 Mercedes-Benz AMG E 53 E 53 AMG,"1,233 mi.",Loeber Motors Mercedes-Benz,n/a,n/a,"$67,397"
2023 BMW i4 Gran Coupe eDrive35,"6,715 mi.",BMW of Lancaster,4.7,(190 reviews),"$42,511"
2023 Rolls-Royce Cullinan Cullinan,"3,651 mi.",Desert European Motorcars,4.8,(298 reviews),"$395,495"
2023 Porsche Taycan Base,"5,009 mi.",Porsche Bellevue,4.7,(933 reviews),"$89,995"
2020 Acura ILX Base,"12,604 mi.",Johnson City Mazda,n/a,(1 review),"$23,259"
2015 FIAT 500L Trekking,"80,367 mi.",Fullerton Auto Group,4.4,(352 reviews),"$8,500"
2023 Mercedes-Benz AMG GT 53 AMG GT 53,"4,164 mi.",Isringhausen Imports,5.0,(977 reviews),"$104,900"
2023 Mercedes-Benz EQB 250 250 4D Sport Utility,"2,236 mi.",Mercedes-Benz of Eugene,4.7,(94 reviews),"$49,995"
2023 Audi S4 Prestige-CERTIFIED,"8,548 mi.",Audi McKinney,n/a,(6 reviews),"$51,991"
2023 Honda Pilot 2WD EX-L 7 Passenger,"10,296 mi.",Yuma Honda,4.9,(592 reviews),"$37,998"
